id,climate,energy,environment,resources,sustainability,dedicated
AADU0001-1,0,0,0,0,0,0
ACVC0001-1,0,0,0,1,1,0
ADAA0002-1,0,0,0,1,0,0
ADAB0002-3,0,0,0,0,0,0
ADAC0002-1,0,0,0,0,0,0
ADAE0002-2,0,0,0,0,0,0
ADAF0001-1,0,0,0,0,0,0
ADAF0002-1,0,0,0,0,0,0
ADAI0001-1,0,0,0,0,0,0
ADAJ0001-1,0,0,0,0,0,0
ADAK0001-1,0,0,0,0,0,0
ADAO0001-1,0,0,0,0,0,0
ADAP0001-1,0,0,0,0,0,0
ADAQ0001-1,0,0,0,0,0,0
ADAT0001-1,0,0,0,0,0,0
ADBA0002-1,0,0,0,0,0,0
ADBB0003-1,0,0,0,0,0,0
ADBC0001-1,0,0,0,0,0,0
ADBC0002-1,0,0,0,0,0,0
ADBD0001-1,0,0,0,0,0,0
ADBF0003-1,0,0,0,0,0,0
ADBG0002-1,0,0,0,0,0,0
ADBJ0001-2,0,0,0,0,0,0
ADBO0001-1,0,0,0,0,0,0
ADBP0001-2,0,0,0,0,0,0
ADBQ0001-1,0,0,0,0,0,0
ADBS0001-1,0,0,0,0,0,0
ADBT0001-1,0,0,0,0,0,0
ADCB0002-1,0,0,0,0,0,0
ADCE0002-1,0,0,0,0,0,0
ADCF0002-1,0,0,0,0,0,0
ADCG0001-1,0,0,0,0,0,0
ADCH0001-1,0,0,0,0,0,0
ADCI0001-1,0,0,0,0,0,0
ADCJ0001-2,0,0,0,0,0,0
ADCK0001-1,0,0,0,0,0,0
ADCL0001-1,0,0,0,0,0,0
ADCM0001-1,0,0,0,0,0,0
ADCM0002-1,0,0,0,0,0,0
ADCP0001-2,0,0,0,0,0,0
ADCS0001-1,0,0,0,0,0,0
ADCT0001-1,0,0,0,0,0,0
ADDA0001-1,0,0,0,0,0,0
ADDB0001-1,0,0,0,0,0,0
ADDC0001-2,0,0,0,0,0,0
ADDF0002-1,0,0,0,0,0,0
ADDG0002-1,0,0,0,0,0,0
ADDI0002-1,0,0,0,0,0,0
ADDJ0002-1,0,0,0,0,0,0
ADDL0001-1,0,0,0,0,0,0
ADDM0001-1,0,0,0,0,0,0
ADDM0002-1,0,0,0,0,0,0
ADDS0001-1,0,0,0,0,0,0
ADDT0001-1,0,0,0,0,0,0
ADEA0002-1,0,0,0,0,0,0
ADEC0002-1,0,0,0,0,0,0
ADEF0001-2,0,0,0,0,0,0
ADEI0001-1,0,0,0,0,0,0
ADEL0001-1,0,0,0,0,0,0
ADEM0001-1,0,0,0,0,0,0
ADEM0002-1,0,0,0,0,0,0
ADES0001-1,0,0,0,0,0,0
ADET0001-1,0,0,0,0,0,0
ADFE0001-1,0,0,0,0,0,0
ADFS0001-1,0,0,0,0,0,0
ALCE0001-3,0,0,0,0,0,0
ALCF0001-1,0,0,0,0,0,0
ALCF0001-2,0,0,0,0,0,0
ALDC0001-1,0,0,0,0,0,0
ALDI0002-1,0,0,0,0,0,0
ALDI0002-2,0,0,0,0,0,0
ALDM0001-1,0,0,0,0,0,0
ALDP0001-1,0,0,0,0,0,0
ALEC0003-1,0,0,0,0,0,0
ALED0001-1,0,0,0,0,0,0
ALEL0001-1,0,0,0,0,0,0
ALEL0001-2,0,0,0,0,0,0
ALES0001-1,0,0,0,0,0,0
ALFP0001-1,0,0,0,0,0,0
ALFP0001-2,0,0,0,0,0,0
AMAT0001-1,0,0,0,0,0,0
AMCB0002-1,0,0,0,0,0,0
AMDD0001-1,0,0,0,0,0,0
AMDI0003-1,0,0,0,0,0,0
AMEC0002-2,0,0,0,0,0,0
AMEE0001-2,0,0,0,0,0,0
AMEG0001-2,0,0,0,0,0,0
AMFP0001-1,0,0,0,0,0,0
AMFP0001-2,0,0,0,0,0,0
ANSI1001-2,0,0,0,0,0,0
AORL1001-1,0,0,0,0,0,0
AORL3001-1,0,0,0,0,0,0
AQLE0001-1,0,0,0,0,0,0
AQLO0001-1,0,0,0,0,0,0
ARCH0001-1,0,0,0,0,0,0
ASNC0001-1,0,0,0,0,0,0
ASOF0001-1,0,0,0,0,0,0
ATES0001-1,0,0,0,0,0,0
ATLE0001-1,0,0,0,0,0,0
ATLO0001-2,0,0,0,0,0,0
AUDI0001-1,0,0,0,0,0,0
AUTO0163-1,0,0,0,0,0,0
AUTO0164-1,0,0,0,0,0,0
AUTO0166-3,0,0,0,0,0,0
BATI0001-1,0,0,0,0,0,0
BATI0002-1,0,0,0,0,0,0
BATI0003-1,0,0,0,0,0,0
BIOL2038-1,0,0,0,0,0,0
BIOL2039-2,0,0,1,0,0,0
BIOL2040-1,0,0,0,0,0,0
BIOL2041-1,0,0,0,0,0,0
BOIS0002-1,0,0,1,0,0,0
BOIS0003-1,0,0,0,0,0,0
BOIS0004-1,0,0,0,0,0,0
BOIS0005-1,0,0,0,0,0,0
BOIS0007-1,0,0,0,0,0,0
BOIS0008-1,0,0,0,0,0,0
BURE0001-3,0,0,0,0,0,0
BURE0003-3,0,0,0,0,0,0
BURE0004-1,0,0,0,0,0,0
BURE0005-1,0,0,0,0,0,0
BURE0006-1,0,0,0,0,0,0
CABI0001-1,0,0,0,0,0,0
CBCO0001-1,0,0,0,0,0,0
CBCP0001-1,0,0,0,0,0,0
CBCS0001-1,0,0,0,0,0,0
CBDA0001-2,0,0,0,0,0,0
CBDH0001-3,0,0,0,0,0,0
CBDP0001-1,0,0,0,0,0,0
CBEB0001-1,0,0,0,0,0,0
CBEC0001-2,0,0,0,0,0,0
CFCD0001-1,0,0,0,0,0,0
CFDH0001-3,0,0,0,0,0,0
CFDT0001-2,0,0,0,0,0,0
CFEC0002-2,0,0,0,0,0,0
CFEF0002-1,0,0,0,0,0,0
CFET0001-1,0,0,0,0,0,0
CHIM9280-2,0,0,0,0,0,0
CHIM9281-2,0,0,0,0,0,0
CHIM9282-1,0,0,0,0,0,0
CHIM9283-1,0,0,0,0,0,0
CHIM9284-1,0,0,0,0,0,0
CHIM9285-1,0,0,0,0,0,0
CHIM9286-1,0,0,1,0,0,0
CHIM9287-1,0,0,0,0,0,0
CHIM9288-1,0,0,1,0,0,0
CHIM9289-1,0,0,0,0,0,0
CHIM9290-2,0,0,0,0,0,0
CHIM9291-1,0,0,0,0,0,0
CHIM9292-1,0,0,0,0,0,0
CHIM9293-1,0,0,0,0,0,0
CHIM9294-2,0,0,0,0,0,0
CHIM9295-1,0,0,0,0,0,0
CLST0001-2,0,0,0,0,0,0
COAA0002-1,0,0,0,0,0,0
COAC0001-1,0,0,0,0,0,0
COAD0001-1,0,0,0,0,0,0
COAE0002-1,0,0,0,0,0,0
COAF0001-1,0,0,0,0,0,0
COAL0001-1,0,0,0,0,0,0
COAM0001-1,0,0,0,0,0,0
COAP0001-1,0,0,0,1,0,0
COBA0001-1,0,0,0,0,0,0
COBE0001-4,0,0,0,0,0,0
COBF0002-1,0,0,0,0,0,0
COBG0001-1,0,0,0,0,0,0
COBH0001-2,0,0,0,0,0,0
COBL0001-1,0,0,0,0,0,0
